statistic,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
EXPV,0.3504132605715746,0.21489168760023158,0.3832602099632727,0.5191659632177028
MACE,0.014663573085846865,0.013967517401392144,0.013457076566125298,0.010951276102088169
MAPE,0.32086877810595593,0.4001112781384278,0.0886524137932579,0.05742098961413869
MSLL,-7.437478378433854,-8.64364279344261,-5.73822233750616,-11.207789014850551
NLL,0.6867412621848425,1.0311807325069362,1.181973060142369,1.072783326357119
R2,0.34964708095103325,0.21294721791276527,0.3831151671588774,0.5191489679657356
RMSE,658.6294281860248,3415.7590273167175,192.42768096923544,36153.71278257767
Rho,0.4882867014736804,0.37195302242683137,0.5997393635849483,0.7102664563319159
Rho_p,7.6035438292195205e-53,1.1310522548225471e-29,2.5369869589908564e-85,2.881037733590551e-133
SMSE,0.6503529190489669,0.7870527820872347,0.6168848328411226,0.4808510320342644
ShapiroW,0.9863035361996388,0.9874021017866664,0.9957099064226557,0.9950584857055477
