statistic,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
EXPV,0.35835464022800234,0.24103461268641602,0.38752089725990946,0.519667886255101
MACE,0.04965197215777262,0.04779582366589327,0.01508120649651971,0.011879350348027838
MAPE,0.30678934245557166,0.3801105627747647,0.08754937038615694,0.057239357165682306
MSLL,-7.254634928606439,-8.440967413938548,-5.732255310659659,-11.211591806357696
NLL,0.8695847120122564,1.2338561120109968,1.1879400869888703,1.0689805348499744
R2,0.3583540249274777,0.24103449885624972,0.3875207831116223,0.5196675932756583
RMSE,654.2056969720828,3354.2568341077235,191.7393178708486,36134.2106002236
Rho,0.505814292731017,0.3873432382133706,0.6041576652555573,0.7104372251402955
Rho_p,3.496281283014881e-57,3.063059739712263e-32,6.971673265382138e-87,2.3334031356816206e-133
SMSE,0.6416459750725223,0.7589655011437502,0.6124792168883776,0.48033240672434174
ShapiroW,0.8818084029418121,0.8716506986004902,0.990679998176236,0.9957932146875516
