statistic,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
EXPV,0.2751922818710645,0.18914818759337693,0.05372976566228704,0.12323849762360184
MACE,0.04106728538283062,0.0433874709976798,0.013921113689095137,0.007703016241299309
MAPE,0.36991138515218064,0.39477428932684056,0.11253456908674148,0.08082563503772994
MSLL,-7.137712282605873,-8.418166428908528,-5.534717435626084,-10.926020638710375
NLL,0.9865073580128229,1.2566570970410174,1.3854779620224456,1.3545517024972942
R2,0.27518994635785754,0.18914666265823266,0.053729603596026854,0.12323837737716159
RMSE,695.310341686681,3467.0208213917213,238.32693433100894,48818.94536628211
Rho,0.20633143164093584,0.2871817496123275,0.1454944958990566,0.23283519084510576
Rho_p,9.656732740810425e-10,7.888721482512753e-18,1.8001783214678947e-05,4.471160063506333e-12
SMSE,0.7248100536421425,0.8108533373417675,0.9462703964039733,0.8767616226228384
ShapiroW,0.9027676382141202,0.8548372166348392,0.9893061755993624,0.994848540891246
