statistic,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
EXPV,0.274775757106818,0.1891317376340933,0.05373662765019105,0.12320374375417109
MACE,0.04083526682134569,0.043387470997679825,0.014153132250580052,0.007703016241299309
MAPE,0.3694500002768623,0.39521681396701713,0.11255246137549171,0.08082906808230896
MSLL,-7.137768815053397,-8.41804182108262,-5.534625571920529,-10.9263335134025
NLL,0.9864508255652988,1.2567817048669263,1.3855698257280005,1.3542388278051691
R2,0.2747753182769681,0.18913130169510994,0.05373662331373097,0.12320373325711031
RMSE,695.5091896283391,3467.0536611941284,238.3260503390182,48819.90986601239
Rho,0.2070138477063805,0.2871817496123275,0.14552163915748237,0.23283519084510576
Rho_p,8.4808407149291e-10,7.888721482512753e-18,1.7936372296490995e-05,4.471160063506333e-12
SMSE,0.7252246817230319,0.8108686983048901,0.9462633766862691,0.8767962667428898
ShapiroW,0.9026704358992056,0.854856151018678,0.9893146761518393,0.9948354767986348
